0x0,item ID,icon ID,shop price,accessory = 2,`--- (1),equip flags,attack,defense,strength,constitution,intelligence,mind,luck,HP?,MP?,resistances,resistances 2,`--- (1),`--- (1)
0x0 `---,0x126,0x0,0,0x2,0x0,0xFF,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1 Studded choker,0x127,0x122,980,0x2,0x0,0xc7,0,1,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x2 Charm necklace,0x128,0x123,5000,0x2,0x0,0xc7,0,0,0,0,0,10,0,0x0,0x0,0x0,0x0,0x0,0x0
0x3 Stella's locket,0x129,0x124,0,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x4 Astral ring,0x12a,0x925,10000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x5 Engagement ring,0x12b,0x126,10000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x6 Magus ring,0x12c,0x127,0,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x7 Gold ring,0x12d,0x128,100000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x8 Shaman ring,0x12e,0x129,80000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x9 Miser ring,0x12f,0x12a,100000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xa Sage ring,0x130,0x92b,100000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xb Thief ring,0x131,0x12c,200000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xc Pearl ring,0x132,0x12d,9800,0x2,0x0,0xc7,0,2,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xd Tough ring,0x133,0x92e,30000,0x2,0x0,0xc7,0,1,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xe Master ring,0x134,0x92f,200000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0xf Skull ring,0x135,0x130,20000,0x2,0x0,0xc7,0,0,6,6,6,6,-13,0x0,0x0,0x0,0x0,0x0,0x0
0x10 Immunity ring,0x136,0x131,50000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x1,0x0,0x0
0x11 Blessed ring,0x137,0x132,50000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x2,0x0,0x0
0x12 Hercules ring,0x138,0x133,30000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x13 Cape,0x139,0x1134,800,0x2,0x0,0xc7,0,1,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x14 Hero's cape,0x13a,0x935,2100,0x2,0x0,0xc7,0,2,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x15 Blue cape,0x13b,0x136,5400,0x2,0x0,0xc7,0,3,0,0,3,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x16 Elven cape,0x13c,0x937,11000,0x2,0x0,0xc7,0,4,0,0,0,5,0,0x0,0x0,0x0,0x0,0x0,0x0
0x17 Assassin's ring,0x13d,0x138,13000,0x2,0x0,0xc7,0,5,3,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x18 Invisible cape,0x13e,0x139,15000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x19 Holy mantle,0x13f,0x13a,10000,0x2,0x0,0xc7,0,3,0,0,3,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1a Paludamentum,0x140,0x13b,15000,0x2,0x0,0xc7,0,5,0,0,5,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1b Blessed ankh,0x141,0x13f,10000,0x2,0x0,0xc7,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1c White corsage,0x142,0x93c,700,0x2,0x0,0x82,0,1,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1d Orchid corsage,0x143,0x93d,1800,0x2,0x0,0x82,0,2,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1e Rose corsage,0x144,0x113e,3800,0x2,0x0,0x82,0,3,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x1f Sorceress crest,0x145,0x30,100000,0x2,0x0,0x82,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
0x20 Forget-me-not,0x146,0x831,1200,0x2,0x0,0x82,0,1,0,2,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0
